DEPARTURES_SCHEDULED,DEPARTURES_PERFORMED,SEATS,PASSENGERS,FREIGHT,DISTANCE,AIR_TIME,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,CARRIER,CARRIER_NAME,ORIGIN,ORIGIN_CITY_NAME,DEST,DEST_CITY_NAME,AIRCRAFT_GROUP,AIRCRAFT_TYPE,YEAR,MONTH,CLASS
0.0,0.0,0.0,0.0,0.0,0.0,0.0,4B,Boutique Air,4B,Boutique Air,PIT,"Pittsburgh, PA",PIT,"Pittsburgh, PA",4,479,2020,6,F
0.0,0.0,0.0,0.0,0.0,0.0,0.0,4B,Boutique Air,4B,Boutique Air,PIT,"Pittsburgh, PA",PIT,"Pittsburgh, PA",4,479,2020,9,F
0.0,0.0,0.0,0.0,0.0,130.0,28.0,YV,Mesa Airlines Inc.,YV,Mesa Airlines Inc.,RDU,"Raleigh/Durham, NC",CLT,"Charlotte, NC",6,631,2020,7,F
0.0,0.0,0.0,0.0,0.0,130.0,33.0,YV,Mesa Airlines Inc.,YV,Mesa Airlines Inc.,RDU,"Raleigh/Durham, NC",CLT,"Charlotte, NC",6,631,2020,6,F
0.0,0.0,0.0,0.0,0.0,182.0,36.0,YV,Mesa Airlines Inc.,YV,Mesa Airlines Inc.,PIT,"Pittsburgh, PA",IAD,"Washington, DC",6,673,2020,12,F
0.0,0.0,0.0,0.0,0.0,190.0,39.0,YV,Mesa Airlines Inc.,YV,Mesa Airlines Inc.,AUS,"Austin, TX",DFW,"Dallas/Fort Worth, TX",6,673,2020,5,F
0.0,0.0,0.0,0.0,0.0,214.0,36.0,YV,Mesa Airlines Inc.,YV,Mesa Airlines Inc.,BNA,"Nashville, TN",ATL,"Atlanta, GA",6,673,2020,3,F
0.0,0.0,0.0,0.0,0.0,217.0,39.0,YV,Mesa Airlines Inc.,YV,Mesa Airlines Inc.,RDU,"Raleigh/Durham, NC",CHS,"Charleston, SC",6,631,2020,8,F
0.0,0.0,0.0,0.0,0.0,363.0,57.0,YV,Mesa Airlines Inc.,YV,Mesa Airlines Inc.,CLE,"Cleveland, OH",PHL,"Philadelphia, PA",6,673,2020,7,F
0.0,0.0,0.0,0.0,0.0,589.0,0.0,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,CVG,"Cincinnati, OH",JFK,"New York, NY",6,622,2020,8,L
0.0,0.0,0.0,0.0,0.0,764.0,93.0,YV,Mesa Airlines Inc.,YV,Mesa Airlines Inc.,BNA,"Nashville, TN",LGA,"New York, NY",6,673,2020,3,F
0.0,1.0,0.0,0.0,0.0,0.0,0.0,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",CVG,"Cincinnati, OH",CVG,"Cincinnati, OH",6,614,2020,9,L
0.0,1.0,0.0,0.0,0.0,0.0,8.0,5Y,Atlas Air Inc.,5Y,Atlas Air Inc.,AUS,"Austin, TX",AUS,"Austin, TX",6,625,2020,7,P
0.0,1.0,0.0,0.0,0.0,54.0,15.0,5Y,Atlas Air Inc.,5Y,Atlas Air Inc.,CVG,"Cincinnati, OH",ILN,"Wilmington, OH",6,625,2020,6,P
0.0,1.0,0.0,0.0,0.0,54.0,16.0,5Y,Atlas Air Inc.,5Y,Atlas Air Inc.,CVG,"Cincinnati, OH",ILN,"Wilmington, OH",6,625,2020,12,P
0.0,1.0,0.0,0.0,0.0,54.0,19.0,5Y,Atlas Air Inc.,5Y,Atlas Air Inc.,CVG,"Cincinnati, OH",ILN,"Wilmington, OH",6,625,2020,7,P
0.0,1.0,0.0,0.0,0.0,54.0,25.0,8C,Air Transport International,8C,Air Transport International,CVG,"Cincinnati, OH",ILN,"Wilmington, OH",6,626,2020,2,P
0.0,1.0,0.0,0.0,0.0,54.0,134.0,5Y,Atlas Air Inc.,5Y,Atlas Air Inc.,CVG,"Cincinnati, OH",ILN,"Wilmington, OH",6,625,2020,9,P
0.0,1.0,0.0,0.0,0.0,64.0,18.0,U7,USA Jet Airlines Inc.,U7,USA Jet Airlines Inc.,DAY,"Dayton, OH",CVG,"Cincinnati, OH",6,640,2020,9,P
0.0,1.0,0.0,0.0,0.0,84.0,36.0,8C,Air Transport International,8C,Air Transport International,CVG,"Cincinnati, OH",SDF,"Louisville, KY",6,625,2020,12,P
0.0,1.0,0.0,0.0,0.0,104.0,24.0,U7,USA Jet Airlines Inc.,U7,USA Jet Airlines Inc.,CLE,"Cleveland, OH",YIP,"Detroit, MI",6,635,2020,6,P
0.0,1.0,0.0,0.0,0.0,104.0,25.0,U7,USA Jet Airlines Inc.,U7,USA Jet Airlines Inc.,CLE,"Cleveland, OH",YIP,"Detroit, MI",6,635,2020,3,P
0.0,1.0,0.0,0.0,0.0,104.0,25.0,U7,USA Jet Airlines Inc.,U7,USA Jet Airlines Inc.,CLE,"Cleveland, OH",YIP,"Detroit, MI",6,640,2020,10,P
0.0,1.0,0.0,0.0,0.0,104.0,25.0,U7,USA Jet Airlines Inc.,U7,USA Jet Airlines Inc.,CLE,"Cleveland, OH",YIP,"Detroit, MI",6,640,2020,12,P
