Year,Airport,Gateway,Passengers
2019,AUS,ATL,23581.0
2019,AUS,BOS,19368.0
2019,AUS,DFW,7208.0
2019,AUS,DTW,13525.0
2019,AUS,EWR,19899.0
2019,AUS,IAD,10713.0
2019,AUS,IAH,1937.0
2019,AUS,JFK,25480.0
2019,AUS,LAX,37654.0
2019,AUS,MIA,5613.0
2019,AUS,ORD,27495.0
2019,AUS,SEA,17143.0
2019,AUS,SFO,28355.0
2019,BNA,ATL,11762.0
2019,BNA,BOS,27205.0
2019,BNA,DFW,13282.0
2019,BNA,DTW,16317.0
2019,BNA,EWR,18101.0
2019,BNA,IAD,4256.0
2019,BNA,IAH,6353.0
2019,BNA,JFK,5762.0
2019,BNA,LAX,28516.0
2019,BNA,MIA,7775.0
2019,BNA,ORD,15866.0
2019,BNA,SEA,12288.0
2019,BNA,SFO,11123.0
2019,CLE,ATL,20672.0
2019,CLE,BOS,15952.0
2019,CLE,DFW,11186.0
2019,CLE,DTW,571.0
2019,CLE,EWR,7740.0
2019,CLE,IAD,2244.0
2019,CLE,IAH,5823.0
2019,CLE,JFK,4357.0
2019,CLE,LAX,18063.0
2019,CLE,MIA,5519.0
2019,CLE,ORD,15251.0
2019,CLE,SEA,5761.0
2019,CLE,SFO,10242.0
2019,CMH,ATL,15137.0
2019,CMH,BOS,10488.0
2019,CMH,DFW,8819.0
2019,CMH,DTW,943.0
2019,CMH,EWR,7849.0
2019,CMH,IAD,2933.0
2019,CMH,IAH,4763.0
2019,CMH,JFK,4177.0
2019,CMH,LAX,12330.0
2019,CMH,MIA,4405.0
2019,CMH,ORD,13244.0
2019,CMH,SEA,6215.0
2019,CMH,SFO,4886.0
2019,CVG,ATL,9681.0
2019,CVG,BOS,9930.0
2019,CVG,DFW,11972.0
2019,CVG,DTW,1390.0
2019,CVG,EWR,11209.0
2019,CVG,IAD,2514.0
2019,CVG,IAH,6652.0
2019,CVG,JFK,1823.0
2019,CVG,LAX,13396.0
2019,CVG,MIA,5057.0
2019,CVG,ORD,11808.0
2019,CVG,SEA,5427.0
2019,CVG,SFO,10731.0
2019,DAY,ATL,4356.0
2019,DAY,BOS,1201.0
2019,DAY,DFW,2794.0
2019,DAY,DTW,203.0
2019,DAY,EWR,926.0
2019,DAY,IAD,1026.0
2019,DAY,IAH,1067.0
2019,DAY,JFK,127.0
2019,DAY,LAX,1582.0
2019,DAY,MIA,675.0
2019,DAY,ORD,3046.0
2019,DAY,SEA,978.0
2019,DAY,SFO,828.0
2019,IND,ATL,14246.0
2019,IND,BOS,10481.0
2019,IND,DFW,9773.0
2019,IND,DTW,2762.0
2019,IND,EWR,8795.0
2019,IND,IAD,2751.0
2019,IND,IAH,4268.0
2019,IND,JFK,3868.0
2019,IND,LAX,14368.0
2019,IND,MIA,4608.0
2019,IND,ORD,4688.0
2019,IND,SEA,8273.0
2019,IND,SFO,7129.0
2019,PIT,ATL,15584.0
2019,PIT,BOS,20388.0
2019,PIT,DFW,9887.0
2019,PIT,DTW,2264.0
2019,PIT,EWR,10121.0
2019,PIT,IAD,1507.0
2019,PIT,IAH,7845.0
2019,PIT,JFK,3393.0
2019,PIT,LAX,12469.0
2019,PIT,MIA,4748.0
2019,PIT,ORD,12340.0
2019,PIT,SEA,6681.0
2019,PIT,SFO,9344.0
2019,RDU,ATL,21297.0
2019,RDU,BOS,32819.0
2019,RDU,DFW,12625.0
2019,RDU,DTW,11460.0
2019,RDU,EWR,21364.0
2019,RDU,IAD,3039.0
2019,RDU,IAH,7224.0
2019,RDU,JFK,13581.0
2019,RDU,LAX,14623.0
2019,RDU,MIA,9829.0
2019,RDU,ORD,23517.0
2019,RDU,SEA,10067.0
2019,RDU,SFO,14240.0
2020,AUS,ATL,8829.0
2020,AUS,BOS,5484.0
2020,AUS,DFW,2033.0
2020,AUS,DTW,4691.0
2020,AUS,EWR,6905.0
2020,AUS,IAD,2730.0
2020,AUS,IAH,512.0
2020,AUS,JFK,6101.0
2020,AUS,LAX,16858.0
2020,AUS,MIA,3739.0
2020,AUS,ORD,8786.0
2020,AUS,SEA,6104.0
2020,AUS,SFO,7996.0
2020,BNA,ATL,3722.0
2020,BNA,BOS,6919.0
2020,BNA,DFW,5926.0
2020,BNA,DTW,6586.0
2020,BNA,EWR,5705.0
2020,BNA,IAD,1404.0
2020,BNA,IAH,2761.0
2020,BNA,JFK,1241.0
2020,BNA,LAX,13359.0
2020,BNA,MIA,3816.0
2020,BNA,ORD,4887.0
2020,BNA,SEA,4680.0
2020,BNA,SFO,2297.0
2020,CLE,ATL,8769.0
2020,CLE,BOS,3568.0
2020,CLE,DFW,5441.0
2020,CLE,DTW,138.0
2020,CLE,EWR,3583.0
2020,CLE,IAD,779.0
2020,CLE,IAH,2473.0
2020,CLE,JFK,792.0
2020,CLE,LAX,7390.0
2020,CLE,MIA,3110.0
2020,CLE,ORD,4011.0
2020,CLE,SEA,1651.0
2020,CLE,SFO,2466.0
2020,CMH,ATL,6561.0
2020,CMH,BOS,2293.0
2020,CMH,DFW,3731.0
2020,CMH,DTW,249.0
2020,CMH,EWR,2909.0
2020,CMH,IAD,978.0
2020,CMH,IAH,1974.0
2020,CMH,JFK,779.0
2020,CMH,LAX,4327.0
2020,CMH,MIA,2430.0
2020,CMH,ORD,3710.0
2020,CMH,SEA,2496.0
2020,CMH,SFO,1434.0
2020,CVG,ATL,3270.0
2020,CVG,BOS,2220.0
2020,CVG,DFW,4624.0
2020,CVG,DTW,429.0
2020,CVG,EWR,3064.0
2020,CVG,IAD,930.0
2020,CVG,IAH,2593.0
2020,CVG,JFK,590.0
2020,CVG,LAX,4354.0
2020,CVG,MIA,2902.0
2020,CVG,ORD,3171.0
2020,CVG,SEA,1612.0
2020,CVG,SFO,2360.0
2020,DAY,ATL,1210.0
2020,DAY,BOS,396.0
2020,DAY,DFW,1670.0
2020,DAY,DTW,45.0
2020,DAY,EWR,220.0
2020,DAY,IAD,436.0
2020,DAY,IAH,391.0
2020,DAY,JFK,65.0
2020,DAY,LAX,693.0
2020,DAY,MIA,287.0
2020,DAY,ORD,755.0
2020,DAY,SEA,363.0
2020,DAY,SFO,330.0
2020,IND,ATL,6612.0
2020,IND,BOS,2270.0
2020,IND,DFW,4650.0
2020,IND,DTW,778.0
2020,IND,EWR,3053.0
2020,IND,IAD,1304.0
2020,IND,IAH,2064.0
2020,IND,JFK,859.0
2020,IND,LAX,4300.0
2020,IND,MIA,2521.0
2020,IND,ORD,1361.0
2020,IND,SEA,2820.0
2020,IND,SFO,2320.0
2020,PIT,ATL,6053.0
2020,PIT,BOS,4387.0
2020,PIT,DFW,4030.0
2020,PIT,DTW,587.0
2020,PIT,EWR,2985.0
2020,PIT,IAD,418.0
2020,PIT,IAH,3120.0
2020,PIT,JFK,631.0
2020,PIT,LAX,4622.0
2020,PIT,MIA,2522.0
2020,PIT,ORD,3221.0
2020,PIT,SEA,2467.0
2020,PIT,SFO,2035.0
2020,RDU,ATL,8953.0
2020,RDU,BOS,8335.0
2020,RDU,DFW,5210.0
2020,RDU,DTW,3619.0
2020,RDU,EWR,6047.0
2020,RDU,IAD,865.0
2020,RDU,IAH,2935.0
2020,RDU,JFK,4260.0
2020,RDU,LAX,5537.0
2020,RDU,MIA,5580.0
2020,RDU,ORD,6385.0
2020,RDU,SEA,3805.0
2020,RDU,SFO,3248.0
2021,AUS,ATL,18183.0
2021,AUS,BOS,12649.0
2021,AUS,DFW,3835.0
2021,AUS,DTW,8628.0
2021,AUS,EWR,16460.0
2021,AUS,IAD,5804.0
2021,AUS,IAH,1026.0
2021,AUS,JFK,15430.0
2021,AUS,LAX,38804.0
2021,AUS,MIA,10616.0
2021,AUS,ORD,17390.0
2021,AUS,SEA,14683.0
2021,AUS,SFO,13849.0
2021,BNA,ATL,6243.0
2021,BNA,BOS,14980.0
2021,BNA,DFW,12081.0
2021,BNA,DTW,11410.0
2021,BNA,EWR,11950.0
2021,BNA,IAD,2957.0
2021,BNA,IAH,8597.0
2021,BNA,JFK,4626.0
2021,BNA,LAX,25403.0
2021,BNA,MIA,12466.0
2021,BNA,ORD,15579.0
2021,BNA,SEA,9960.0
2021,BNA,SFO,4113.0
2021,CLE,ATL,18712.0
2021,CLE,BOS,7622.0
2021,CLE,DFW,6976.0
2021,CLE,DTW,209.0
2021,CLE,EWR,6779.0
2021,CLE,IAD,1853.0
2021,CLE,IAH,4997.0
2021,CLE,JFK,1465.0
2021,CLE,LAX,11252.0
2021,CLE,MIA,7296.0
2021,CLE,ORD,7859.0
2021,CLE,SEA,2984.0
2021,CLE,SFO,4475.0
2021,CMH,ATL,10646.0
2021,CMH,BOS,5211.0
2021,CMH,DFW,6587.0
2021,CMH,DTW,381.0
2021,CMH,EWR,4356.0
2021,CMH,IAD,1418.0
2021,CMH,IAH,3661.0
2021,CMH,JFK,767.0
2021,CMH,LAX,6866.0
2021,CMH,MIA,4968.0
2021,CMH,ORD,6025.0
2021,CMH,SEA,4883.0
2021,CMH,SFO,2668.0
2021,CVG,ATL,6091.0
2021,CVG,BOS,5204.0
2021,CVG,DFW,7923.0
2021,CVG,DTW,632.0
2021,CVG,EWR,6406.0
2021,CVG,IAD,1489.0
2021,CVG,IAH,4521.0
2021,CVG,JFK,1330.0
2021,CVG,LAX,6646.0
2021,CVG,MIA,6195.0
2021,CVG,ORD,4873.0
2021,CVG,SEA,4683.0
2021,CVG,SFO,3108.0
2021,DAY,ATL,1887.0
2021,DAY,BOS,654.0
2021,DAY,DFW,2409.0
2021,DAY,DTW,74.0
2021,DAY,EWR,310.0
2021,DAY,IAD,801.0
2021,DAY,IAH,613.0
2021,DAY,JFK,92.0
2021,DAY,LAX,1043.0
2021,DAY,MIA,563.0
2021,DAY,ORD,1348.0
2021,DAY,SEA,599.0
2021,DAY,SFO,620.0
2021,IND,ATL,10727.0
2021,IND,BOS,6550.0
2021,IND,DFW,7992.0
2021,IND,DTW,1140.0
2021,IND,EWR,4982.0
2021,IND,IAD,2483.0
2021,IND,IAH,4066.0
2021,IND,JFK,1867.0
2021,IND,LAX,9214.0
2021,IND,MIA,5969.0
2021,IND,ORD,1844.0
2021,IND,SEA,5222.0
2021,IND,SFO,3835.0
2021,PIT,ATL,10451.0
2021,PIT,BOS,7608.0
2021,PIT,DFW,7342.0
2021,PIT,DTW,1045.0
2021,PIT,EWR,3781.0
2021,PIT,IAD,645.0
2021,PIT,IAH,6003.0
2021,PIT,JFK,2487.0
2021,PIT,LAX,6689.0
2021,PIT,MIA,4998.0
2021,PIT,ORD,6078.0
2021,PIT,SEA,4417.0
2021,PIT,SFO,3234.0
2021,RDU,ATL,14691.0
2021,RDU,BOS,15253.0
2021,RDU,DFW,9000.0
2021,RDU,DTW,6409.0
2021,RDU,EWR,13164.0
2021,RDU,IAD,1533.0
2021,RDU,IAH,5676.0
2021,RDU,JFK,10129.0
2021,RDU,LAX,13269.0
2021,RDU,MIA,11478.0
2021,RDU,ORD,10631.0
2021,RDU,SEA,7829.0
2021,RDU,SFO,6472.0
2022,AUS,ATL,21966.0
2022,AUS,BOS,19960.0
2022,AUS,DFW,6306.0
2022,AUS,DTW,10633.0
2022,AUS,EWR,21542.0
2022,AUS,IAD,10538.0
2022,AUS,IAH,1840.0
2022,AUS,JFK,25743.0
2022,AUS,LAX,42622.0
2022,AUS,MIA,14898.0
2022,AUS,ORD,24832.0
2022,AUS,SEA,19150.0
2022,AUS,SFO,21988.0
2022,BNA,ATL,9285.0
2022,BNA,BOS,22635.0
2022,BNA,DFW,14067.0
2022,BNA,DTW,14578.0
2022,BNA,EWR,17528.0
2022,BNA,IAD,6204.0
2022,BNA,IAH,11774.0
2022,BNA,JFK,10551.0
2022,BNA,LAX,26640.0
2022,BNA,MIA,15144.0
2022,BNA,ORD,20675.0
2022,BNA,SEA,12850.0
2022,BNA,SFO,7518.0
2022,CLE,ATL,20147.0
2022,CLE,BOS,11617.0
2022,CLE,DFW,9458.0
2022,CLE,DTW,343.0
2022,CLE,EWR,10295.0
2022,CLE,IAD,3116.0
2022,CLE,IAH,7612.0
2022,CLE,JFK,4336.0
2022,CLE,LAX,12947.0
2022,CLE,MIA,9294.0
2022,CLE,ORD,11659.0
2022,CLE,SEA,4987.0
2022,CLE,SFO,6740.0
2022,CMH,ATL,12601.0
2022,CMH,BOS,8341.0
2022,CMH,DFW,8518.0
2022,CMH,DTW,586.0
2022,CMH,EWR,7213.0
2022,CMH,IAD,2106.0
2022,CMH,IAH,4552.0
2022,CMH,JFK,4072.0
2022,CMH,LAX,8390.0
2022,CMH,MIA,4365.0
2022,CMH,ORD,8123.0
2022,CMH,SEA,5770.0
2022,CMH,SFO,4553.0
2022,CVG,ATL,8287.0
2022,CVG,BOS,9811.0
2022,CVG,DFW,8443.0
2022,CVG,DTW,948.0
2022,CVG,EWR,9563.0
2022,CVG,IAD,1915.0
2022,CVG,IAH,5083.0
2022,CVG,JFK,2159.0
2022,CVG,LAX,8630.0
2022,CVG,MIA,6140.0
2022,CVG,ORD,6273.0
2022,CVG,SEA,6842.0
2022,CVG,SFO,3974.0
2022,DAY,ATL,3081.0
2022,DAY,BOS,610.0
2022,DAY,DFW,2417.0
2022,DAY,DTW,61.0
2022,DAY,EWR,243.0
2022,DAY,IAD,687.0
2022,DAY,IAH,517.0
2022,DAY,JFK,65.0
2022,DAY,LAX,1005.0
2022,DAY,MIA,513.0
2022,DAY,ORD,2040.0
2022,DAY,SEA,489.0
2022,DAY,SFO,542.0
2022,IND,ATL,13752.0
2022,IND,BOS,10241.0
2022,IND,DFW,9543.0
2022,IND,DTW,1710.0
2022,IND,EWR,9960.0
