Year,Airport,dep_flights,dep_cancelled,dep_delayed,arr_flights,arr_cancelled,arr_delayed,dep_ontime_pct,arr_ontime_pct,combined_ontime_pct
2019,AUS,66811,924.0,11587.0,66819,835.0,12250.0,82.4,81.4,81.9
2019,BNA,82654,1365.0,15756.0,82656,1347.0,14600.0,80.6,82.0,81.3
2019,CLE,49615,1087.0,8258.0,49613,1029.0,9345.0,83.0,80.8,81.9
2019,CMH,47897,886.0,7338.0,47900,871.0,8702.0,84.4,81.5,83.0
2019,CVG,48247,791.0,8665.0,48247,758.0,9338.0,81.7,80.3,81.0
2019,DAY,13834,319.0,2252.0,13835,360.0,2905.0,83.3,78.4,80.8
2019,IND,49135,915.0,7686.0,49132,924.0,9135.0,84.1,81.1,82.6
2019,PIT,50401,910.0,7621.0,50399,902.0,9133.0,84.6,81.5,83.0
2019,RDU,64156,1082.0,11902.0,64157,988.0,12354.0,81.1,80.4,80.8
2020,AUS,38720,2662.0,2928.0,38713,2633.0,3643.0,91.9,89.9,90.9
2020,BNA,59022,3961.0,4481.0,59036,3966.0,4423.0,91.9,92.0,92.0
2020,CLE,27275,1506.0,2096.0,27290,1497.0,2577.0,91.9,90.0,91.0
2020,CMH,27412,1582.0,1903.0,27422,1586.0,2405.0,92.6,90.7,91.6
2020,CVG,27575,1730.0,2417.0,27579,1715.0,2939.0,90.6,88.6,89.6
2020,DAY,7313,362.0,660.0,7315,383.0,905.0,90.5,86.9,88.7
2020,IND,30446,1996.0,2182.0,30449,1979.0,2857.0,92.3,90.0,91.2
2020,PIT,29048,1837.0,1961.0,29038,1818.0,2554.0,92.8,90.6,91.7
2020,RDU,33860,2205.0,2638.0,33868,2187.0,2847.0,91.7,91.0,91.4
2021,AUS,61525,1294.0,11490.0,61540,1221.0,12056.0,80.9,80.0,80.4
2021,BNA,74640,1541.0,15007.0,74654,1526.0,13680.0,79.5,81.3,80.4
2021,CLE,33887,541.0,5133.0,33902,525.0,6573.0,84.6,80.3,82.4
2021,CMH,30742,422.0,4271.0,30751,429.0,5450.0,85.9,82.0,84.0
2021,CVG,32984,421.0,5091.0,33007,409.0,6158.0,84.4,81.1,82.8
2021,DAY,7226,48.0,728.0,7226,58.0,1078.0,89.9,85.0,87.4
2021,IND,35978,527.0,4997.0,36011,577.0,6767.0,85.9,80.9,83.4
2021,PIT,32620,454.0,4204.0,32628,455.0,5980.0,86.9,81.4,84.2
2021,RDU,44136,612.0,5864.0,44148,550.0,7279.0,86.5,83.3,84.9
2022,AUS,89578,2541.0,20083.0,89578,2441.0,20135.0,76.9,76.9,76.9
2022,BNA,87677,2770.0,18739.0,87678,2622.0,18224.0,77.9,78.6,78.2
2022,CLE,39246,1483.0,7025.0,39227,1384.0,8572.0,81.4,77.3,79.4
2022,CMH,39076,1359.0,6893.0,39076,1371.0,8560.0,81.7,77.3,79.5
2022,CVG,36753,1086.0,6336.0,36754,1074.0,8184.0,82.2,77.1,79.6
2022,DAY,6744,150.0,925.0,6741,142.0,1275.0,86.0,80.7,83.4
2022,IND,41275,1305.0,7040.0,41274,1387.0,9416.0,82.4,76.4,79.4
2022,PIT,40471,1335.0,6373.0,40480,1370.0,8706.0,83.7,77.7,80.7
2022,RDU,54049,1685.0,10251.0,54045,1667.0,12017.0,80.4,77.1,78.8
2023,AUS,92813,1174.0,19773.0,92813,1114.0,20280.0,78.4,77.9,78.2
2023,BNA,96489,1133.0,19743.0,96495,1042.0,19326.0,79.3,79.8,79.6
2023,CLE,41660,680.0,7474.0,41663,608.0,8847.0,81.8,78.5,80.2
2023,CMH,41382,564.0,6211.0,41387,572.0,8111.0,84.8,80.1,82.4
2023,CVG,39702,548.0,6522.0,39701,535.0,7948.0,83.3,79.7,81.5
2023,DAY,7061,65.0,884.0,7061,58.0,1168.0,87.4,83.3,85.4
2023,IND,44962,606.0,6919.0,44976,628.0,9003.0,84.4,79.7,82.1
2023,PIT,42130,565.0,6107.0,42132,589.0,8162.0,85.3,80.4,82.8
2023,RDU,59416,897.0,11087.0,59422,855.0,12762.0,81.1,78.2,79.6
2024,AUS,85344,861.0,19127.0,85345,815.0,19438.0,77.4,77.0,77.2
2024,BNA,100220,1273.0,20074.0,100213,1211.0,19138.0,79.7,80.7,80.2
2024,CLE,41106,707.0,7020.0,41105,687.0,8802.0,82.6,78.2,80.4
2024,CMH,42272,481.0,6718.0,42271,497.0,8301.0,83.9,80.1,82.0
2024,CVG,41270,577.0,6887.0,41275,565.0,8665.0,83.1,78.7,80.9
2024,DAY,7640,92.0,1085.0,7639,93.0,1528.0,85.6,79.8,82.7
