year,age_group,population
2022,Gen Alpha (0-14),411773.0
2022,Gen Z (15-28),441069.0
2022,Millennials (29-44),631069.0
2022,Gen X (45-60),447448.0
2022,Baby Boomers (61-79),372068.0
2022,Silent+ (80+),66395.0
2023,Gen Alpha (0-14),417160.0
2023,Gen Z (15-28),439273.0
2023,Millennials (29-44),639072.0
2023,Gen X (45-60),440019.0
2023,Baby Boomers (61-79),382797.0
2023,Silent+ (80+),68303.0
2024,Gen Alpha (0-14),418967.0
2024,Gen Z (15-28),451183.0
2024,Millennials (29-44),655070.0
2024,Gen X (45-60),440053.0
2024,Baby Boomers (61-79),399281.0
2024,Silent+ (80+),72402.0
